Country,Region,Happiness.Rank,Happiness.Score,Economy.GDP.per.Capita.,Family,Health.Life.Expectancy,Freedom,Generosity,Trust.Government.Corruption,Region,Surface area (km2),Population in thousands (2017),Population density (per km2 2017),Sex ratio (m per 100 f 2017),Population age distribution <14 (in %),Population age distribution >60 (in %),Population growth rate (average annual %),International migrant stock (% of total pop),GDP: Gross domestic product (million current US$),GDP growth rate (annual % const. 2005 prices),GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Fertility rate total (live births per woman),Life expectancy at birth - females,Life expectancy at birth - males,Infant mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (tons per capita),Energy supply per capita (Gigajoules),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education Primary gross enrol ratio (females per 100 pop),Education Primary gross enrol ratio (males per 100 pop),Education Secondary gross enrol ratio (females per 100 pop),Education Secondary gross enrol ratio (males per 100 pop),Education Tertiary gross enrol ratio (females per 100 pop),Education Tertiary gross enrol ratio (males per 100 pop),Seats held by women in national parliaments,Forested area (% of land area),Refugees and others of concern to UNHCR (in thousands)
Philippines,Southeastern Asia,72,5.429999828,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,South-easternAsia,300000,104918,351.9,101.3,31.7,7.6,1.6,0.2,292449,5.9,2904.2,10.5,31.3,58.2,56313,85909,-29596,27.7,16.3,56.1,5.9,3,72.1,65.4,22.2,44.4,1.3,118.1,40.7,783,1.1,19,4.7,-,-,116.9,116.8,92.7,84.4,40.3,31.4,29.5,26.2,240.2
Poland,Central and Eastern Europe,46,5.97300005,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893,EasternEurope,312679,38171,124.6,93.4,14.8,24,-~0.0,1.6,477066,3.9,12355.5,2.6,34.1,63.3,196455,188518,7937,10.9,29.6,59.5,5.3,1.3,81,72.9,4.5,60.5,-0.1,148.7,68,58,7.4,102,6.4,2.3,4.9,100.7,100.5,106.1,110,82.6,54.2,28,30.7,23.7
Portugal,Western Europe,89,5.195000172,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,SouthernEurope,92226,10330,112.8,89.8,13.6,27.9,-0.4,8.1,199122,1.6,19239.2,2.3,22.3,75.4,55658,67580,-11922,8,23.8,68.2,10.5,1.3,83.5,77.3,2.9,63.5,1,110.4,68.6,281,4.3,84,9.5,4.4,5.1,105.3,109.4,117.3,121,65.7,58,34.8,34.9,1.8
Qatar,Middle East and Northern Africa,35,6.375,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,WesternAsia,11607,2639,227.3,301.2,13.9,2.8,6.6,75.5,164641,3.6,73653.4,0.2,56.4,43.5,57254,32058,25196,1.2,54.1,44.7,0.3,2,79.4,76.8,7.2,99.2,6,153.6,92.9,39,49.7,846,2.2,2,3.6,103.6,102.4,103.6,82,43.9,6.3,0,0,1.5
Romania,Central and Eastern Europe,57,5.824999809,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,EasternEurope,238391,19679,85.5,94,15.3,24.9,-0.6,1.2,177956,3.7,9120.7,4.8,34.9,60.3,63581,74605,-11024,25.5,27.7,46.8,7.1,1.5,78.4,71.4,8.7,54.6,~0.0,107.1,55.8,104,3.6,68,5.6,2.7,3.1,89,90.5,92,92.5,59,47.8,20.7,29.5,3.2
Russia,Central and Eastern Europe,49,5.962999821,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,EasternEurope,17098246,143990,8.8,86.8,17.6,21.1,0.1,8.1,1326016,-3.7,9243.3,4.7,31.8,63.5,285491,182257,103234,6.8,27.1,66.1,5.8,1.7,75.9,64.7,8.3,74,-0.1,160,73.4,235,11.9,208,7.1,3.3,3.9,100.9,100.1,103.4,105.5,88.3,72.9,15.8,49.8,418.4
Rwanda,Sub-Saharan Africa,151,3.470999956,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,EasternAfrica,26338,12208,494.9,96.2,40.1,4.9,2.5,3.8,8096,6.9,697.3,34.6,15.1,50.3,622,1778,-1157,75,7.2,17.8,2.4,4.2,67.1,63.1,44,28.8,6.4,70.5,18,62,0.1,8,7.5,-,3.6,133.4,131.7,38.2,35.2,6.9,9.1,61.3,19.2,155.1
Saudi Arabia,Middle East and Northern Africa,37,6.343999863,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,WesternAsia,2206714,32938,15.3,132.9,25.2,5.6,2.8,32.3,653219,3.4,20710.6,2.3,46,51.8,182329,135904,46426,5.9,22.7,71.4,5.5,2.7,75.6,72.7,13,83.1,2.1,176.6,69.6,131,19.5,287,4.7,2.6,-,111.1,107.9,93.7,122.6,61.8,64.4,19.9,0.5,70.2
Senegal,Sub-Saharan Africa,115,4.534999847,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,WesternAfrica,196712,15851,82.3,96.6,42.9,4.7,3,1.7,13633,6.5,901.1,15.5,24.1,60.4,2640,5478,-2838,51.4,20.7,27.9,9.3,5,67.5,63.8,43.9,43.7,3.6,100,21.7,123,0.6,11,4.7,-,7.4,86.9,77.6,49.1,50.2,7.8,12.9,42.7,43.2,17.6
Serbia,Central and Eastern Europe,73,5.394999981,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,SouthernEurope,88499,8791,100.5,95.6,16.5,24.5,-0.4,9.1,37160,0.8,5238.6,8.2,31.4,60.5,14852,19231,-4379,19.4,24.5,56.1,15.5,1.6,77.5,71.8,9.8,55.6,-0.3,120.5,65.3,71,4.3,62,10.4,2.5,4.2,101.2,101.5,97.4,96,66.9,50.2,34.4,31.1,254.1
Sierra Leone,Sub-Saharan Africa,106,4.709000111,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,WesternAfrica,72300,7557,104.7,98.1,42.1,4.2,2.3,1.4,4483,-20.3,694.8,51.4,17.6,31.1,466,958,-492,68,6.5,25.5,3.1,4.8,50.7,49.6,94.4,39.9,2.7,89.5,2.5,177,0.2,11,11.1,-,2.7,128.2,127,40.1,46.5,-,-,12.4,41.3,0.8
Singapore,Southeastern Asia,26,6.572000027,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,South-easternAsia,719,5709,8155.5,97.7,15,19.5,1.7,45.4,292734,2,52239,~0.0,26.4,73.6,329871,283009,46862,0.3,17,82.6,2,1.2,84.5,80.1,2.1,100,2,146.1,82.1,293,10.2,209,4.9,1.9,2.9,-,-,-,-,-,-,23.8,23.1,~0.0
Slovakia,Central and Eastern Europe,40,6.09800005,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,EasternEurope,49035,5448,113.3,94.6,15.4,21.8,0.1,3.3,87268,3.8,16082.5,3.7,34.8,61.5,77565,75156,2409,3.3,34.5,62.2,9.9,1.4,79.8,72.6,5.7,53.6,-0.3,122.3,85,54,5.6,121,8.1,3.4,4.2,99.2,100.2,92.8,92.1,64.6,41.8,20,40.3,2.7
Slovenia,Central and Eastern Europe,62,5.757999897,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,SouthernEurope,20273,2080,103.3,98.6,15,26.3,0.3,11.4,42777,2.3,20689.8,2.4,32.7,64.9,27585,26646,939,8.9,29.6,61.5,8.1,1.6,83.2,77.2,2.5,49.7,0.1,113.2,73.1,143,6.2,135,9.2,2.8,5.5,99.4,99.2,110.5,110.8,98.5,68.2,36.7,62,0.6
Somalia,Sub-Saharan Africa,93,5.151000023,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979,EasternAfrica,637657,14742,23.5,99.3,46.4,4.4,2.9,0.2,1559,2.7,144.5,60.2,7.4,32.5,925,530,394,72,4.8,23.2,6.6,6.6,56.5,53.3,79.5,39.6,4.1,52.5,1.8,175,0.1,12,-,~0.0,-,-,-,-,-,-,-,24.2,10.3,1168.4
South Africa,Sub-Saharan Africa,101,4.828999996,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,SouthernAfrica,1221037,56717,46.8,96.4,29,8.4,1.4,5.8,314571,1.3,5773,2.4,28.9,68.7,74111,74744,-633,6.1,26.2,67.7,26,2.6,63,56.1,36.5,64.8,1.6,159.3,51.9,581,9.1,122,8.8,0.8,6,97.3,102.2,111.5,88,23.3,15.7,42.2,7.6,1201.9
South Korea,Eastern Asia,55,5.837999821,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,EasternAsia,100284,50982,524.3,100.2,13.5,20.1,0.4,2.6,1377873,2.6,27396.7,2.3,38,59.7,495418,406182,89236,5,24.7,70.3,3.6,1.2,84.4,77.9,3,82.5,0.7,118.5,89.9,111,11.7,223,7.4,2.2,5.1,98.7,99.3,98.4,99.3,80.2,104.8,17,63.5,8
South Sudan,Sub-Saharan Africa,147,3.59100008,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669,EasternAfrica,658841,12576,20.6,100.4,41.7,5.1,3.3,6.7,13167,2,1067,4.6,58,37.4,2389,750,1640,-99,-99,-99,-,5.2,56,54.1,77.7,18.8,5.1,23.9,17.9,49,0.1,2,2.7,-,1.8,53.1,74.9,6.6,12.3,-,-,28.5,-,2231.2
Spain,Western Europe,34,6.402999878,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,SouthernEurope,505944,46354,92.9,96.2,14.7,25.3,-0.2,12.7,1192955,3.2,25865.4,2.6,23.6,73.7,281777,302539,-20762,3.9,19.2,76.8,18.3,1.3,85.3,79.6,2.9,79.6,0.7,107.9,78.7,617,5.1,102,9,3.8,4.3,105.6,104.5,129.6,130,97.1,82.5,39.1,36.8,28.8
Sri Lanka,Southern Asia,120,4.440000057,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,SouthernAsia,65610,20877,332.9,92.5,24,14.9,0.5,0.2,82316,4.8,3973.7,8.7,30.7,60.6,10546,19501,-8955,27.4,25.9,46.6,5.2,2.1,78,71.2,8.2,18.4,0.8,112.8,30,587,0.9,20,3.5,-,2.2,100.6,102.7,102,97.5,24,15.6,5.8,33.1,44.2
Sudan,Sub-Saharan Africa,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,NorthernAfrica,1886000,40533,23,99.9,40.8,5.5,2.3,1.3,79546,4.9,1977,32.4,20.1,47.6,1797,7658,-5861,32.9,20.4,46.7,13.4,4.8,65.1,62.1,48.7,33.8,2.5,70.5,26.6,133,0.4,16,8.4,3.1,-,66.6,74.1,41.5,43.9,16.8,15.8,30.5,-,3619.6
Sweden,Western Europe,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,NorthernEurope,438574,9911,24.2,100.2,17.5,25.5,0.8,16.8,495694,4.1,50687.5,1.3,26.3,72.4,139574,140838,-1263,1.8,18.2,79.9,7.3,1.9,83.7,80,2.4,85.8,0.8,130.4,90.6,54,4.5,206,11.9,4.1,7.7,125.6,120.6,150,131.5,75.7,49.6,43.6,68.9,348.5
Switzerland,Western Europe,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,WesternEurope,41291,8476,214.5,98.2,14.9,24.1,1.2,29.4,670790,0.8,80831.1,0.7,25.5,73.8,304691,269157,35534,3.5,20.4,76.1,4.6,1.5,84.8,80.5,3.9,73.9,1.1,142,88,74,4.3,126,11.7,4.1,5.1,103.8,104.1,99.4,103,58.5,56.9,32.5,31.6,110.1
Syria,Middle East and Northern Africa,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,WesternAsia,185180,18270,99.5,102.1,36.6,6.8,-2.3,4.7,28393,-5.3,1534.5,20.7,30,49.3,1265,2383,-1118,18.5,39.2,42.3,13.8,3.1,76.3,64.4,17.9,57.7,1.4,62.4,30,132,1.7,24,3.3,1.5,-,78.7,81.4,50.5,50.5,47,41.3,13.2,2.7,6768.5
Tajikistan,Central and Eastern Europe,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,CentralAsia,142600,8921,63.7,100.9,35.3,5.8,2.2,3.2,7853,4.2,925.9,25,28,47.1,899,3030,-2132,57.2,13.4,29.4,10.8,3.5,73.5,67.7,38.9,26.8,2.6,98.6,19,45,0.6,14,6.9,1.7,5.2,101.2,99.8,83.1,92.5,24,33.6,19,3,21.8
Tanzania,Sub-Saharan Africa,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,EasternAfrica,947303,57310,64.7,97.8,44.9,4.7,3.1,0.5,45628,7,877.3,31.1,26.1,42.9,4742,7876,-3134,66.9,6.4,26.7,2.7,5.2,64.8,60.8,44,31.6,5.4,75.9,5.4,1082,0.2,20,5.6,~0.0,3.5,82.9,80.5,30.8,33.7,2.5,4.9,36.4,52.4,402.1
Thailand,Southeastern Asia,32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,South-easternAsia,513120,69038,135.1,95.2,17.3,16.9,0.4,5.8,395168,2.8,5814.8,9.1,35.7,55.1,213927,195666,18260,34,22.7,43.3,0.6,1.5,78.4,70.8,11.2,50.4,3,125.8,39.3,611,4.7,83,4.1,-,4.1,99.2,106.1,125.3,132.6,57.3,40.5,4.9,32,554.1
Togo,Sub-Saharan Africa,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,WesternAfrica,56785,7798,143.4,99.4,41.6,4.6,2.6,3.8,4086,5.5,559.4,45.7,19.7,34.6,715,1716,-1001,62.5,8.7,28.7,6.8,4.7,59.8,58.3,55.7,40,3.8,65,7.1,80,0.4,20,5.2,-,5.2,118.5,125.1,-,-,6.4,14.9,17.6,3.8,13.8
Trinidad and Tobago,Latin America and Caribbean,38,6.168000221,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,Caribbean,5127,1369,266.9,97.1,20.7,15,0.5,3.7,25927,0.2,19062.9,0.5,42.5,57,4576,4826,-249,4.1,31.6,64.3,4.2,1.8,73.8,66.9,24.8,8.4,-1.2,157.7,69.2,69,34.2,607,5.9,-,-,-,-,-,-,-,-,31,45.4,0.2
Tunisia,Middle East and Northern Africa,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,NorthernAfrica,163610,11532,74.2,97.6,24,12.3,1.2,0.5,41199,0.8,3660.9,10.3,27.8,62,13483,19456,-5973,11.7,29.4,58.9,14.6,2.3,77.1,73,18.5,66.8,1.4,129.9,48.5,96,2.6,39,7,1.6,6.3,112.5,115.8,94.2,90,43.3,26.2,31.3,6.6,0.7
Turkey,Middle East and Northern Africa,69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,WesternAsia,783562,80745,104.9,97,25,12,1.6,3.8,717888,4,9125.8,8.6,26.4,65,142606,198602,-55996,19.6,27.5,52.9,10.8,2.1,78.1,71.5,12.6,73.4,2,96,53.7,388,4.5,65,5.4,1.7,4.8,102.1,102.8,101.1,103.8,88.3,101,14.9,15.1,3006.3
Turkmenistan,Central and Eastern Europe,59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,CentralAsia,488100,5758,12.3,97,30.9,7.3,1.8,3.7,37597,6.5,6996.7,13.4,51,35.6,3741,2616,1125,17.9,37.4,44.7,8.6,3,70.8,63.9,46.9,50,1.9,145.9,15,54,12.9,212,2.1,2.3,3.1,88.6,90.1,83.7,86.9,6.2,9.7,25.8,8.8,7.2
Uganda,Sub-Saharan Africa,133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,EasternAfrica,241550,42863,214.5,99,47.7,3.3,3.4,1.9,25282,5.4,647.7,25.6,21.5,52.9,2755,3750,-996,72,7.4,20.5,2.4,5.9,60.7,56.5,60.2,16.1,5.4,50.4,19.2,196,0.1,12,7.2,-,2.2,110.9,108.9,22.1,24.3,4.2,5.4,34.3,11,727.1
Ukraine,Central and Eastern Europe,132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,EasternEurope,603500,44223,76.3,86,15.5,23.2,-0.5,10.8,90615,-9.9,2021.6,14,26.3,59.7,36369,39184,-2815,15.7,24.6,59.7,8.8,1.5,76,66.1,8.8,69.7,-0.3,144,49.3,102,5.1,98,7.1,3,5.9,105.1,102.8,98.2,100.2,88.4,76.5,12.3,16.6,1644.8
United Arab Emirates,Middle East and Northern Africa,21,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,WesternAsia,83600,9400,112.4,262.4,13.9,2.4,2,88.4,370296,3.8,40438.8,0.7,44.9,54.4,195613,201908,-6296,3.5,21.1,75.4,3.7,1.8,78.2,76,6.2,85.5,2.9,187.4,91.2,56,23.2,366,3.6,1.6,-,116,116.7,-,-,-,-,20,3.8,1.3
United Kingdom,Western Europe,19,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,NorthernEurope,242495,66182,273.6,97.4,17.7,23.9,0.6,13.2,2858003,2.2,44162.4,0.7,19.4,79.9,415856,635570,-219713,1.2,18.4,80.4,5,1.9,82.8,79,4.1,82.6,0.9,125.8,92,102,6.5,116,9.1,2.8,5.7,108.1,108.4,130.4,125.3,64.1,49,30,12.9,151.7
United States,North America,14,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,NorthernAmerica,9833517,324460,35.5,98,18.9,21.5,0.7,14.5,18036648,2.6,56053.8,1,19.7,79.3,1453167,2249661,-796494,1.5,17.2,81.3,4.9,1.9,81.2,76.5,6,81.6,1,117.6,74.6,1513,16.2,289,17.1,2.6,5.4,100,100.3,98.5,96.7,99.6,72.8,19.1,33.9,616.5
Uruguay,Latin America and Caribbean,28,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,SouthAmerica,173626,3457,19.8,93.5,21.1,19.5,0.3,2.1,53442,1,15573.8,6.8,28,65.2,6964,8137,-1173,8.7,20.5,70.8,8.8,2,80.4,73.2,12.7,95.3,0.5,160.2,64.6,106,2,58,8.6,-,4.4,107.3,109.8,100,90.3,-,-,20.2,10.4,0.5
Uzbekistan,Central and Eastern Europe,47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,CentralAsia,448969,31911,75,99.4,28,7.6,1.6,3.9,69004,6.8,2308.3,19.2,32.9,47.9,27947,25652,2295,29,23.9,47.1,8.9,2.4,73.5,68.1,31.3,36.4,1.4,73.3,42.8,59,3.6,62,5.8,2.5,-,103.2,105.6,95.1,96.8,7.1,11,16,7.6,86.7
Venezuela,Latin America and Caribbean,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,SouthAmerica,912050,31977,36.3,99,27.6,9.9,1.4,4.5,344331,-6.2,11068.9,5.3,44.7,50,19731,16324,3407,11.9,26.8,61.3,6.6,2.4,78.2,69.9,13.8,89,1.5,93,61.9,328,6.1,90,5.3,-,-,98.6,101.3,93,86.5,-,-,22.2,53.1,174.2
Vietnam,Southeastern Asia,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,South-easternAsia,330967,95541,308.1,98,23.1,11.1,1.1,0.1,193241,6.7,2067.9,18.9,37,44.2,176632,174111,2520,41.8,22.9,35.2,2.2,2,80.3,70.7,19.3,33.6,3,130.6,52.7,616,1.8,30,7.1,1.2,5.7,108.4,109.3,-,-,28.9,28.8,26.7,47.2,11
Yemen,Middle East and Northern Africa,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,WesternAsia,527968,28250,53.5,102.1,39.9,4.6,2.6,1.3,29688,-28.1,1106.4,14.7,36.9,48.4,570,6861,-6291,32.9,17.9,49.2,16.1,4.4,65.6,62.8,47.2,34.6,4,68,25.1,298,0.9,12,5.6,0.3,-,88.9,105.7,39.5,57.4,6.1,13.7,0,1,3371.4
Zambia,Sub-Saharan Africa,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,EasternAfrica,752612,17094,23,98.5,44.8,3.7,3,0.8,21255,2.9,1311.1,8.2,32.3,59.5,6505,7442,-937,54.8,9.9,35.3,7.4,5.2,61.9,57.5,53.8,40.9,4.3,74.5,21,88,0.3,26,5,0.2,-,104,103.3,-,-,3.4,4.5,18,65.6,55.3
Zimbabwe,Sub-Saharan Africa,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,EasternAfrica,390757,16530,42.7,95,41.2,4.2,2.3,2.6,13893,1.1,890.4,13,30.5,56.5,2832,5212,-2379,67.5,7.3,25.2,5,4,59,56.1,46.5,32.4,2.3,84.8,16.4,89,0.8,30,6,0.1,8.4,99.1,100.8,47.1,48.1,8,8.9,32.6,37.2,308.6
Zimbabwe2,Sub-Saharan Africa,-138,-3.875,-0.375846535,-1.083095908,-0.196763754,-0.336384207,-0.189143494,-0.095375381,EasternAfrica,-390757,-16530,-42.7,-95,-41.2,-4.2,-2.3,-2.6,-13893,-1.1,-890.4,-13,-30.5,-56.5,-2832,-5212,-2379,-67.5,-7.3,-25.2,-5,-4,-59,-56.1,-46.5,-32.4,-2.3,-84.8,-16.4,-89,-0.8,-30,-6,-0.1,-8.4,-99.1,-100.8,-47.1,-48.1,-8,-8.9,-32.6,-37.2,-
