Country,Region,Happiness.Rank,Happiness.Score,Economy.GDP.per.Capita.,Family,Health.Life.Expectancy,Freedom,Generosity,Trust.Government.Corruption,Region,Surface area (km2),Population in thousands (2017),Population density (per km2 2017),Sex ratio (m per 100 f 2017),Population age distribution <14 (in %),Population age distribution >60 (in %),Population growth rate (average annual %),International migrant stock (% of total pop),GDP: Gross domestic product (million current US$),GDP growth rate (annual % const. 2005 prices),GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Fertility rate total (live births per woman),Life expectancy at birth - females,Life expectancy at birth - males,Infant mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (tons per capita),Energy supply per capita (Gigajoules),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education Primary gross enrol ratio (females per 100 pop),Education Primary gross enrol ratio (males per 100 pop),Education Secondary gross enrol ratio (females per 100 pop),Education Secondary gross enrol ratio (males per 100 pop),Education Tertiary gross enrol ratio (females per 100 pop),Education Tertiary gross enrol ratio (males per 100 pop),Seats held by women in national parliaments,Forested area (% of land area),Refugees and others of concern to UNHCR (in thousands)
Burundi,Sub-Saharan Africa,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,EasternAfrica,27830,10864,423.1,96.9,45,4.4,3,2.6,2735,-4.1,244.6,36.3,13.9,49.8,123,625,-502,91.1,2.6,6.3,1.7,6,58,54.2,77.8,12.1,5.7,46.2,4.9,61,~0.0,6,7.5,-,5.4,124.5,123.1,40.5,44.5,2.4,7.7,36.4,10.6,103.2
Cambodia,Southeastern Asia,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,South-easternAsia,181035,16005,90.7,95.3,31.3,7.1,1.6,0.5,18050,7,1158.7,28.2,29.4,42.3,13204,15313,-2109,42.4,19.6,38,0.3,2.7,69.6,65.5,29.9,20.7,2.6,133,19,255,0.4,17,5.7,0.2,1.9,116.2,117.1,-,-,11.8,14.3,20.3,54.3,0.3
Cameroon,Sub-Saharan Africa,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,MiddleAfrica,475650,24054,50.9,100.2,42.7,4.8,2.7,1.6,28416,5.8,1217.3,22.7,28.3,49.1,2130,4899,-2768,61.8,8.7,29.5,4.6,5,57.7,55.1,67.5,54.4,3.6,71.8,20.7,775,0.3,14,4.1,-,3,110.7,123.5,53.5,62.6,15.2,19.7,31.1,40.3,544.9
Canada,North America,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,NorthernAmerica,9984670,36624,4,98.5,16,23.5,1,21.8,1552808,0.9,43205.6,1.8,28.6,69.6,388911,402954,-14043,2.1,19.5,78.4,7.1,1.6,83.8,79.7,4.7,81.8,1.2,81.9,88.5,122,15.1,324,10.4,2.5,5.3,101.1,100.1,110,109.8,-,-,26.3,38.2,155.8
Central African Republic,Latin America and Caribbean,155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,0.056565076,MiddleAfrica,622984,4659,7.5,97.3,43.2,5.5,0.4,1.7,1633,4.8,333.2,34.9,24.8,40.4,213,147,66,72.2,4.3,23.4,6.9,5.1,51,47.8,93.5,40,2.6,20.4,4.6,60,0.1,5,4.2,-,1.2,79.8,107.3,11.8,23,1.5,4.1,8.6,35.6,470.5
Colombia,Sub-Saharan Africa,36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,SouthAmerica,1141748,49066,44.2,96.8,23.5,11.6,1,0.3,292080,3.1,6056.1,6.8,34,59.2,31045,44831,-13786,13.5,16.6,69.9,10.5,1.9,77.4,70.2,17.9,76.4,1.7,115.7,55.9,835,1.8,31,7.2,-,4.5,111.6,115.4,101.5,94.8,59.9,51.5,18.7,52.8,7127
Congo (Brazzaville),Sub-Saharan Africa,124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.079618134,MiddleAfrica,342000,5261,15.4,100.1,42.3,5.2,2.6,8.5,8493,1.2,1838.1,4.7,70,25.3,2540,9793,-7253,40.7,25.8,33.5,11.5,4.9,64.1,61,46.5,65.4,3.2,111.7,7.6,134,0.7,24,5.2,-,-,114.8,107,50.6,58.4,8.3,11.1,7.4,65.4,54.9
Costa Rica,Latin America and Caribbean,12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,CentralAmerica,51100,4906,96.1,100.1,21.6,13.6,1.1,8.8,52958,3.7,11015,5.1,21.5,73.4,9908,15322,-5414,11.6,19.1,69.3,8.6,1.9,81.7,76.7,9.3,76.8,2.7,150.7,59.8,340,1.6,44,9.3,1.2,7.2,109.5,110.1,125.6,120.7,60.9,46.6,35.1,53.4,10.1
Croatia,Central and Eastern Europe,77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311,SouthernEurope,56594,4189,74.9,93.1,14.7,26.8,-0.4,13.6,48676,1.6,11479.4,4.1,26.6,69.3,13648,21830,-8182,9.2,26.8,64,11.7,1.5,80.4,73.6,3.9,59,0.1,103.8,69.8,176,4,79,7.8,3.1,4.6,98.1,97.8,100.6,95.9,79.8,58.8,19.9,34.3,15.5
Cyprus,Western Europe,65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,0.041237976,WesternAsia,9251,1180,127.7,100.2,16.8,18.5,0.9,16.8,19561,1.7,21941.9,2.3,10.6,87.2,1920,6604,-4684,4.1,16.7,79.2,10.3,1.4,82.2,77.7,4.2,66.9,0.9,95.4,71.7,72,5.2,72,7.4,2.5,6.1,99.3,99.3,99.4,100.1,69.4,51.1,17.9,18.7,16.2
